Player,Year,Age,Pos,Tm,G,MP,perf,PTS
A.J. Price,2010,23,PG,IND,56,865,0,410
Aaron Brooks,2010,25,PG,HOU,82,2919,1,1604
Aaron Gray,2010,25,PF-C,TOT,32,311,1,104
Acie Law,2010,25,PG,TOT,26,234,1,113
Adam Morrison,2010,25,SG-SF,LAL,31,241,0,74
Al Harrington,2010,29,PF-C,NYK,72,2195,1,1276
Al Horford,2010,23,PF-C,ATL,81,2845,1,1148
Al Jefferson,2010,25,PF-C,MIN,76,2463,1,1301
Al Thornton,2010,26,SG-SF,TOT,75,2079,0,804
Alando Tucker,2010,25,SG-SF,TOT,15,96,0,51
Allen Iverson*,2010,34,SG-SF,TOT,28,865,0,385
Alonzo Gee,2010,22,SG-SF,WAS,11,182,1,81
Amar'e Stoudemire,2010,27,PF-C,PHO,82,2838,1,1896
Amir Johnson,2010,22,PF-C,TOR,82,1453,1,511
Anderson Varejao,2010,27,PF-C,CLE,76,2166,1,651
Andray Blatche,2010,23,PF-C,WAS,81,2256,1,1143
Andre Iguodala,2010,26,SG-SF,PHI,82,3193,1,1401
Andre Miller,2010,33,PG,POR,82,2500,1,1146
Andrea Bargnani,2010,24,PF-C,TOR,80,2799,1,1376
Andrei Kirilenko,2010,28,SG-SF,UTA,58,1681,1,688
Andres Nocioni,2010,30,SG-SF,SAC,75,1477,0,635
Andrew Bogut,2010,25,PF-C,MIL,69,2229,1,1095
Andrew Bynum,2010,22,PF-C,LAL,65,1977,1,977
Andris Biedrins,2010,23,PF-C,GSW,33,763,0,166
Antawn Jamison,2010,33,PF-C,TOT,66,2406,1,1235
Anthony Carter,2010,34,PG,DEN,54,859,0,180
Anthony Johnson,2010,35,PG,ORL,31,406,0,130
Anthony Morrow,2010,24,SG-SF,GSW,69,2018,0,899
Anthony Parker,2010,34,SG-SF,CLE,81,2289,0,595
Anthony Randolph,2010,20,PF-C,GSW,33,749,1,384
Anthony Tolliver,2010,24,PF-C,TOT,46,1427,0,539
Antoine Wright,2010,25,SG-SF,TOR,67,1392,0,435
Antonio McDyess,2010,35,PF-C,SAS,77,1617,0,446
Arron Afflalo,2010,24,SG-SF,DEN,82,2221,0,724
Austin Daye,2010,21,SG-SF,DET,69,915,0,349
Baron Davis,2010,30,PG,LAC,75,2523,1,1145
Ben Gordon,2010,26,SG-SF,DET,62,1730,0,855
Ben Wallace,2010,35,PF-C,DET,69,1975,1,381
Beno Udrih,2010,27,PG,SAC,79,2477,1,1023
Bobby Brown,2010,25,PG,TOT,45,519,0,215
Bobby Simmons,2010,29,PF-C,NJN,23,395,0,122
Boris Diaw,2010,27,PF-C,CHA,82,2906,0,925
Brad Miller,2010,33,PF-C,CHI,82,1950,0,719
Brandon Bass,2010,24,PF-C,ORL,50,648,1,290
Brandon Jennings,2010,20,PG,MIL,82,2671,0,1270
Brandon Roy,2010,25,SG-SF,POR,65,2419,1,1398
Brandon Rush,2010,24,SG-SF,IND,82,2491,0,774
Brendan Haywood,2010,30,PF-C,TOT,77,2355,1,704
Brian Scalabrine,2010,31,PF-C,BOS,52,472,0,78
Brook Lopez,2010,21,PF-C,NJN,82,3027,1,1542
C.J. Miles,2010,22,SG-SF,UTA,63,1497,0,622
C.J. Watson,2010,25,PG,GSW,65,1788,0,667
Carl Landry,2010,26,PF-C,TOT,80,2469,1,1343
Carlos Arroyo,2010,30,PG,MIA,72,1585,0,439
Carlos Boozer,2010,28,PF-C,UTA,78,2673,1,1519
Carlos Delfino,2010,27,SG-SF,MIL,75,2279,0,825
Carmelo Anthony,2010,25,SG-SF,DEN,69,2634,1,1943
Caron Butler,2010,29,SG-SF,TOT,74,2783,0,1206
Cartier Martin,2010,25,SG-SF,TOT,18,390,0,141
Channing Frye,2010,26,PF-C,PHO,81,2190,NA,904
Charlie Bell,2010,30,SG-SF,MIL,71,1611,0,459
Charlie Villanueva,2010,25,PF-C,DET,78,1848,1,931
Chase Budinger,2010,21,SG-SF,HOU,74,1488,0,657
Chauncey Billups,2010,33,PG,DEN,73,2490,1,1427
Chris Andersen,2010,31,PF-C,DEN,76,1695,1,448
Chris Bosh,2010,25,PF-C,TOR,70,2526,1,1678
Chris Douglas-Roberts,2010,23,SG-SF,NJN,67,1730,0,657
Chris Duhon,2010,27,PG,NYK,67,2072,0,494
Chris Hunter,2010,25,PF-C,GSW,60,783,0,270
Chris Kaman,2010,27,PF-C,LAC,76,2608,1,1408
Chris Paul,2010,24,PG,NOH,45,1712,1,841
Chris Quinn,2010,26,PG,NJN,25,223,0,56
Chris Wilcox,2010,27,PF-C,DET,34,441,0,152
Chuck Hayes,2010,26,PF-C,HOU,82,1773,0,358
Chucky Atkins,2010,35,PG,DET,40,644,0,161
Corey Brewer,2010,23,SG-SF,MIN,82,2482,0,1066
Corey Maggette,2010,30,PF-C,GSW,70,2081,1,1387
Courtney Lee,2010,24,SG-SF,NJN,71,2375,0,885
Craig Smith,2010,26,PF-C,LAC,75,1232,1,585
